Timestamp,Name,Email,Age,Address,Phone Number,Comment,OS
12/18/2023 21:17:05,jeb bush,,,,,fuck you and this gameee,Linux
,Heather Savage,alvarezerin@gmail.com,25.0,"1451 Rita Shore
Johnchester, MT 99947",+1-544-954-3691x582,Seeking stronger storylines in games,Windows
,Ann Gay,rebeccafleming@wilson.com,54.0,"2241 Fischer Rest Apt. 195
North Rhondamouth, WY 94239",001-526-355-5715,Need better multiplayer support,Android
,Rachel Parks,montoyashelley@gmail.com,55.0,"9143 James Dale
Tammiechester, GA 96987",+1-884-013-8714,Seeking stronger storylines in games,Android
,Penny Avila,nathan15@gmail.com,60.0,"3267 Nicole Spur
Ashleyside, MD 04582",+1-108-431-8484x20444,Asking for more frequent updates,Linux
,Todd Cobb,janet82@robinson.com,65.0,"0037 Matthew Course Suite 643
Millsborough, MD 51753",2177347478,More customizable characters,Android
,Charles Burns,annette97@gmail.com,45.0,"2140 John Valley Suite 470
West Jenniferfurt, ME 50296",538-517-8315x83296,Asking for more frequent updates,Linux
,Justin Prince,michael12@burke.info,69.0,"2893 Lewis Ports Apt. 546
Port Rebecca, MD 84050",505.450.7707x14797,Interested in cross-platform play,Android
,Brandon Clark,woodardronald@hotmail.com,54.0,"483 Francisco Unions
New Steven, DE 39669",(768)466-8295,Interested in cross-platform play,macOS
,Jessica Long,meganpayne@hotmail.com,33.0,"242 John View
North Karen, CO 54182",5576057573,More customizable characters,iOS
,Erik Bowers,tiffanycooke@carter-rogers.net,24.0,"7457 Orr Pine
West Reneetown, NY 69152",023.778.5618,Desire for more strategic gameplay,Android
,Brent Ayers,david15@potter.com,45.0,"109 Kimberly Mills
Marychester, WV 82113",(542)465-2999x2992,Interested in cross-platform play,iOS
,Kathy Walters,brandon63@carter.biz,36.0,"8258 Delgado Springs Apt. 059
Lisaborough, NV 05958",(615)900-8125x300,Wish for more realistic graphics,macOS
,Brian Ferguson,bellchristina@yahoo.com,35.0,"3790 Hughes Pines Apt. 226
Collinschester, WI 71383",623-162-9981,Wish for more realistic graphics,Windows
,Bryan Powell,gary17@yahoo.com,32.0,"295 Sparks Ports Apt. 715
West Joshuatown, CO 24163",737-788-5436,Desire for more strategic gameplay,iOS
,Angela Schmidt,alexandra17@carter.com,58.0,"3121 Davidson Hills
Port Kayla, NV 42590",001-801-210-3605x30256,Wish for more realistic graphics,macOS
,Ethan Johnson,denise59@baker-smith.org,24.0,"50853 Haynes Crossing
Clementsport, MA 80007",656-985-0879x99608,Want more levels and challenges,Linux
,Shelley Gonzalez,thompsonrobert@jones-salas.info,68.0,"649 Jennings Unions Suite 856
Scottland, SC 92175",(483)505-2530,Wish for more realistic graphics,Windows
,Jeffrey Hernandez,floresjesse@hotmail.com,31.0,"374 Montoya Course Suite 064
Port Margaret, WI 70172",(209)086-1460x78217,Wish for more realistic graphics,iOS
,Emily Reilly,crawfordalexis@colon-ross.info,54.0,"44273 Marshall Stravenue
East Terranceland, NC 36512",+1-049-141-8923,Interested in cross-platform play,macOS
,Courtney Johnson,kendra88@walsh.net,67.0,"2300 Nicole Vista
Spencerview, NH 70046",(262)070-4582x700,Need better multiplayer support,Android
,Jessica Gentry,phillip69@hotmail.com,18.0,"952 John Greens
Port Patrickburgh, MN 54006",+1-245-490-4706x716,Wish for more realistic graphics,macOS
,Kelly Munoz,jonathan89@olson-fox.com,42.0,"8594 Christopher Mill
East Ericborough, PA 88911",001-388-823-4880,Hoping for virtual reality compatibility,Android
,Kevin Gaines,jennifer93@burton-smith.com,49.0,"967 Ferguson Lights
Sharonberg, WV 36333",001-802-377-7456x636,More customizable characters,Windows
,Michelle Andrews,iguerrero@hotmail.com,54.0,"76283 Kelly Parkways
Pierceshire, AR 89464",613-301-9030x7843,Desire for more strategic gameplay,macOS
,Daniel Howell,randall39@gmail.com,50.0,"43610 Tracy Turnpike Apt. 333
Jeanetteview, CT 52417",109-483-5355x603,Looking for diverse game worlds,macOS
,Lee Andrews,hburgess@yahoo.com,58.0,"0450 Sheryl Viaduct
Lake Jennifer, MD 16753",334.178.9959,Looking for diverse game worlds,iOS
,Meredith Reed,nbaxter@gill-mccann.com,56.0,"886 Eileen Centers Apt. 072
Davidville, NH 82395",(455)638-7138,Desire for more strategic gameplay,Linux
,Lindsey Mayer,fwhitney@diaz.net,41.0,"USS Butler
FPO AE 88311",6812253767,Interested in cross-platform play,macOS
,David Taylor,daniel33@hotmail.com,40.0,"3805 Bell Rapid
Nicholasville, LA 87879",861-044-6238,Asking for more frequent updates,Android
,Anna Braun,aprilbutler@gmail.com,45.0,"27699 Marks Street Suite 014
North Anthony, UT 11704",(711)387-2642x178,Wish for more realistic graphics,Linux
,Kim Taylor,cathy86@johnson-singh.biz,22.0,"PSC 0432, Box 8716
APO AA 34198",001-562-012-5163x4100,Wish for more realistic graphics,Windows
,Todd Harper,qanderson@hotmail.com,51.0,"818 Cynthia Cliff
Port Kristen, TN 12541",170-027-7041,Wish for more realistic graphics,Windows
,Mrs. Laura Chen,veronicapratt@patrick-pham.info,47.0,"0893 Amanda Hills Suite 785
Bullockshire, VT 37596",(108)771-4887,More customizable characters,Android
,Jessica Baker,maxjacobs@weber-coffey.biz,60.0,"89360 Christopher Fields
South Gabrielchester, NC 38286",501.786.6058x4375,Want more levels and challenges,Windows
,Christine Dominguez,lindsey63@hotmail.com,30.0,"Unit 1091 Box 5786
DPO AP 42456",+1-221-201-2554x68943,Want more levels and challenges,iOS
,Lisa Jennings,michaelmay@yahoo.com,35.0,"PSC 4740, Box 5572
APO AE 89849",001-496-535-7441,Desire for more strategic gameplay,Linux
,Matthew Vega,jandrade@yahoo.com,50.0,"USNS Mooney
FPO AP 02240",(598)179-8219x429,More customizable characters,iOS
,Paige Chavez,dianaroman@hotmail.com,64.0,"6063 John Roads
Jamesport, TN 05107",+1-267-768-8860,Wish for more realistic graphics,Android
